Experiment,Initialize [s],Run [s],Make Files [s],Make Summary [s],Plot Summary [s],Total [s]
0,0.01,0.27,0.04,0.39,0.92,1.63
1,0.01,0.27,0.05,0.38,0.95,1.66
2,0.01,0.29,0.05,0.41,1.33,2.09
3,0.01,0.25,0.06,0.41,1.03,1.76
4,0.01,0.26,0.06,0.40,1.01,1.74
5,0.01,0.23,0.07,0.44,1.08,1.83
6,0.01,0.53,0.07,0.42,1.23,2.26
7,0.01,0.30,0.06,0.38,1.04,1.79
8,0.01,0.28,0.06,0.41,1.14,1.90
9,0.01,0.25,0.10,0.38,0.91,1.65
Sum,0.10,2.93,0.62,4.02,10.64,18.31
Average,0.01 ± 0.00,0.29 ± 0.09,0.06 ± 0.02,0.40 ± 0.02,1.06 ± 0.14,1.83 ± 0.20
Share [%],0.55,16.00,3.39,21.96,58.11,100.00
