Experiment,Initialize [s],Run [s],Make Files [s],Make Summary [s],Plot Summary [s],Total [s]
0,0.01,4.26,0.01,0.05,0.80,5.13
1,0.01,5.50,0.01,0.05,0.81,6.38
2,0.01,4.86,0.01,0.05,0.70,5.63
3,0.01,5.63,0.01,0.05,0.94,6.64
4,0.01,4.66,0.01,0.05,0.77,5.50
5,0.01,4.76,0.01,0.05,0.92,5.75
6,0.01,4.86,0.01,0.05,0.65,5.58
7,0.01,4.94,0.02,0.06,0.66,5.69
8,0.01,4.68,0.01,0.05,0.91,5.66
9,0.01,4.50,0.01,0.05,0.85,5.42
Sum,0.10,48.65,0.11,0.51,8.01,57.38
Average,0.01 ± 0.00,4.87 ± 0.42,0.01 ± 0.00,0.05 ± 0.00,0.80 ± 0.11,5.74 ± 0.45
Share [%],0.17,84.79,0.19,0.89,13.96,100.00
