# Summary

# Parameter                 Value Unit
        RM: 6.000000000000000e-09 m       
       σRM:                   0.0 n.u.    
         δ: 1.000000000000000e-09 m        
        σδ:                   0.0 n.u.     
        RP: 7.000000000000000e-09 m       
        ΩM: 9.047786842338603e-25 m3      
        ΩP: 1.436755040241732e-24 m3      
        ρM: 5.240000000000000e+00 g/cm3   
        MS: 4.460000000000000e+05 A/m     
      Keff: 3.200000000000000e+04 J/m3  
        HK: 1.141918874201940e+05 A/m     
         α: 1.000000000000000e-01 n.u.     
        θM:                    -1 rad         
        θN:                    -1 rad         
         N:                  1000 n.u.         
        T0: 3.000000000000000e+02 K   
        H0: 1.591549430918953e+05 A/m 
        dt: 9.999999999999999e-12 s       
        X0:                     1 n.u.    
        X1:                   200 n.u.    
        X2:                   200 n.u.    
         f: 2.500000000000000e+06 Hz     
