Experiment,Initialize [s],Run [s],Make Files [s],Make Summary [s],Plot Summary [s],Total [s]
0,0.01,9.48,0.02,0.11,0.56,10.18
1,0.02,9.14,0.02,0.11,0.56,9.85
2,0.01,8.77,0.02,0.09,0.84,9.73
3,0.01,8.61,0.02,0.09,0.64,9.37
4,0.01,9.47,0.02,0.09,0.64,10.23
5,0.01,8.65,0.02,0.09,0.72,9.49
6,0.01,8.58,0.02,0.09,0.54,9.24
7,0.01,8.67,0.02,0.09,0.54,9.33
8,0.01,8.72,0.02,0.09,0.56,9.40
9,0.01,8.88,0.02,0.09,0.83,9.83
Sum,0.11,88.97,0.20,0.94,6.43,96.65
Average,0.01 ± 0.00,8.90 ± 0.34,0.02 ± 0.00,0.09 ± 0.01,0.64 ± 0.12,9.67 ± 0.35
Share [%],0.11,92.05,0.21,0.97,6.65,100.00
