# Summary

# Parameter                 Value Unit
        RM: 5.000000000000000e-09 m       
       σRM:                   0.0 n.u.    
      <Rm>: 5.000000000000001e-09 m     
     σ<Rm>: 8.275945133107542e-25 m    
     <Rm>e: 6.754063828357237e-26 m    
         δ: 1.000000000000000e-09 m        
        σδ:                   0.0 n.u.     
        RP: 6.000000000000000e-09 m       
      <Rp>: 6.000000000000000e-09 m     
     σ<Rp>: 8.275945133107542e-25 m    
     <Rp>e: 6.754063828357237e-26 m    
        ΩM: 5.235987755982989e-25 m3      
      <Ωm>: 5.235987755982989e-25 m3    
     σ<Ωm>: 0.000000000000000e+00 m3   
     <Ωm>e: 0.000000000000000e+00 m3   
        ΩP: 9.047786842338603e-25 m3      
      <Ωp>: 9.047786842338607e-25 m3    
     σ<Ωp>: 0.000000000000000e+00 m3   
     <Ωp>e: 0.000000000000000e+00 m3   
        ρM: 5.240000000000000e+00 g/cm3   
        MS: 4.460000000000000e+05 A/m     
      Keff: 3.200000000000000e+04 J/m3  
        HK: 1.141918874201940e+05 A/m     
         α: 1.000000000000000e-01 n.u.     
        θM:                    -1 rad         
        θN:                    -1 rad         
         N:                  1000 n.u.         
        T0: 1.000000000000000e+02 K   
        H0: 1.591549430918953e+05 A/m 
        dt: 9.999999999999999e-12 s       
        X0:                     1 n.u.    
        X1:                   200 n.u.    
        X2:                   200 n.u.    
         f: 2.500000000000000e+06 Hz     
        Vm: 5.235987755982989e-22 m3   
      MR_u: 2.848016374414925e+05 A/m  
      MR_d: 2.785933197986269e+05 A/m  
      HC_l: 4.238385624079363e+04 A/m  
      HC_r: 4.251083410615590e+04 A/m  
      SLP0: 1.702290076335877e+02 W/mg 
       SLP: 3.117728126226629e+01 W/mg   
