#        Em_x_FC[n.u.]          Em_y_FC[n.u.]          Em_z_FC[n.u.]          En_x_FC[n.u.]          En_y_FC[n.u.]          En_z_FC[n.u.]
 2.549923647192117e-01  6.448425059759805e-01  7.205255279457642e-01  4.508072026622597e-01 -5.504537286420906e-03  8.926043726629904e-01
-2.074058789091281e-01  5.588609774974281e-01  8.029054796329087e-01  6.921873739199808e-01  7.101119087078377e-01 -1.289097222752115e-01
-3.047845093110454e-01 -4.334952218319540e-01 -8.480497010982848e-01  7.243731377222272e-01  1.241929974462457e-01 -6.781295279898760e-01
-4.161588598857218e-01 -9.079973486219702e-01  4.850379607915747e-02 -6.609495228659552e-01  6.151938826427249e-01 -4.297466869939027e-01
-8.448523350923246e-01  5.341908137084094e-01 -2.940589122257690e-02  9.103952476428543e-01 -1.476381560567030e-01 -3.865015756054334e-01
 3.485318197556225e-01  4.034412678050069e-01 -8.460264263305982e-01 -3.398281596305300e-02 -4.291448440216773e-02  9.985006335740190e-01
-1.995357006574934e-01  2.719192245805725e-01  9.414060969988581e-01  6.193817340095383e-01 -4.168081003036471e-01 -6.653099090623875e-01
 7.851179208893836e-01  2.855154221463387e-01 -5.496096742370258e-01 -7.703940607085120e-01  5.858216372435366e-01  2.516068372726618e-01
-8.895299552806482e-01  3.259767863663310e-01  3.201180929105500e-01  9.313655354534010e-01 -3.082247815332483e-01  1.937929911487547e-01
-8.227593476393441e-02 -7.553943981681297e-01 -6.500845897073164e-01 -4.644065903893275e-01  7.567884111442845e-01 -4.599976299511431e-01
-2.196734348832074e-01 -9.124341291046655e-01 -3.452644523428730e-01  1.682959693237845e-01 -6.664606124766130e-01 -7.262965776641561e-01
 6.794631079392329e-01 -5.845711341575672e-01  4.434032860267207e-01  1.746912546335075e-01 -8.949644684656469e-01 -4.105137826414275e-01
 2.994019325260701e-01  1.299091672513390e-01 -9.452418161844716e-01 -3.390873949545777e-01 -6.180156401508466e-02 -9.387226988137698e-01
-5.190672278060440e-01  4.527552055014352e-02 -8.535334441348282e-01 -2.069456385931964e-01  9.713128614461182e-01  1.171530104462033e-01
 3.636490179546547e-01  8.940910133460157e-01 -2.614586995961503e-01  2.698786602994319e-01  2.507040574344846e-01 -9.296843465934395e-01
 7.065911279373975e-01 -6.853890601399745e-01 -1.759852668850392e-01 -2.714980900642689e-01 -5.205137509835429e-01 -8.095395123948530e-01
 1.140185555518352e-03  1.765218012599228e-02 -9.998435380166731e-01 -1.406274448330822e-02 -6.137042232612665e-02  9.980159870869354e-01
-7.509894492065729e-02  1.053527201425505e-01 -9.915951557114272e-01 -1.263051337058148e-01  1.700833542352900e-01  9.773017271097136e-01
-3.922093064459751e-01 -6.686314073587146e-01 -6.317467063868809e-01 -1.260074150353311e-01 -1.328196381157155e-01 -9.830976935620001e-01
-3.003505931984118e-01  5.863657050416063e-01 -7.523063080397652e-01  5.188484277205437e-01  7.146352877020242e-01 -4.691403996917817e-01
-5.652988612264295e-01 -7.273536537023961e-01  3.890936390406258e-01 -9.210889902509730e-01 -8.430767516257252e-02 -3.801148352105255e-01
-3.095628008080804e-01  1.898597378284485e-02  9.506894367538612e-01  8.985902538432747e-01  6.200419686711720e-02 -4.343858138438025e-01
 4.490194007083140e-01 -8.052022936912453e-01  3.873381520350199e-01 -2.460771329238878e-01  9.617298338291586e-01  1.205063125935653e-01
 2.720167126439553e-01 -8.370019510325040e-01 -4.747995808866701e-01  5.533944105900047e-02  3.881878567032433e-02 -9.977127082193344e-01
 9.077207439643307e-05 -5.744949716789975e-03 -9.999834935203591e-01  2.943368991638809e-01  2.642040661193119e-01 -9.184563142777199e-01
 1.780619983167051e-01  5.300681568666081e-01  8.290486558890851e-01  1.558116186375547e-01 -5.559265480709090e-01 -8.164976501175668e-01
 8.347819320274931e-01 -4.241461338847769e-01 -3.510543876253976e-01  1.794388885320066e-01  8.184060381534825e-02 -9.803590163045053e-01
 6.277659821151663e-01 -5.911875919052512e-01  5.063665696669271e-01  1.204204951099270e-01  9.485559480440644e-01  2.928148182515811e-01
 4.816352680347495e-01 -1.367876119115822e-01  8.656307629772763e-01 -6.555643840520062e-01 -6.151435132888022e-01  4.379883519241384e-01
 6.363019235752466e-02  1.248463331662118e-01 -9.901336231617911e-01 -7.140531715441726e-01 -1.243498063180684e-01  6.889595008970899e-01
 1.551157215566826e-01  6.350230403285256e-01 -7.567594407589940e-01  7.719198703443107e-02 -3.056656112054578e-01 -9.490047056069164e-01
-3.546683767058792e-01 -2.146394091612091e-01 -9.100221242364076e-01 -2.122393128251973e-01 -5.110035203250238e-03 -9.772043602193502e-01
 8.499160370958200e-01  1.515864190803173e-01  5.046427324729278e-01  2.220995924532870e-01  1.514944806332771e-01 -9.631828452426556e-01
 5.117693810243140e-03  7.620312585644234e-02  9.970791808175375e-01 -4.146011892358603e-01 -1.166747138439329e-01 -9.024925844757101e-01
-2.647991830027073e-01  7.535553721654438e-01 -6.016940200481457e-01  4.083313941770600e-01 -4.993000697956283e-01  7.641759698076741e-01
-1.290733881341526e-01 -3.627740637526834e-02  9.909712459311087e-01 -1.000631931804084e-01  6.791493771470323e-01  7.271474959671790e-01
 2.720446264772795e-01 -4.424187017472235e-01 -8.545510011398610e-01  4.081833871045814e-01 -3.177537768848644e-01  8.558147344882743e-01
-5.867280495785686e-01  6.412844391904915e-01 -4.944739264004379e-01 -1.089863985779985e-01 -2.492847340784454e-01 -9.622780711833957e-01
-2.361567884558751e-02 -5.516900911993518e-01  8.337147851544394e-01  4.746574750522482e-02 -1.919933430683890e-02 -9.986883339540642e-01
 1.837381561982193e-01  6.277582448604656e-01 -7.564125038407195e-01 -3.964473278447974e-01  1.955690188451709e-01  8.969851030606121e-01
 1.817148997214189e-04 -5.926940187099662e-02  9.982420072214701e-01 -4.852703593308374e-02 -2.774905624260727e-01 -9.595020138321811e-01
 1.575578873235484e-02 -9.467254680550655e-01 -3.216560946995074e-01 -5.318794697577153e-01 -5.586543201426040e-01 -6.364036299678504e-01
-5.983027426079218e-01 -4.261245668211502e-01 -6.785659008079656e-01 -3.506151172661626e-01 -1.999944383157370e-01 -9.149159875022449e-01
 3.571962368096081e-02  3.100306549678771e-01 -9.500553149497558e-01  4.499699540152330e-01  5.751055567268696e-01 -6.832134652547522e-01
 6.314360542128519e-01 -3.443795311638010e-01  6.947598491245051e-01 -1.946900777145222e-01  1.421063369444318e-01 -9.705161320862982e-01
-7.078388161417071e-01 -7.039704408159928e-01  5.822223647751238e-02 -2.051899275731828e-01  2.920126180813964e-01 -9.341443809731772e-01
