# Summary

# Parameter                 Value Unit
        RM: 5.000000000000000e-09 m       
       σRM:                   0.0 n.u.    
      <Rm>: 5.000000000000001e-09 m     
     σ<Rm>: 8.275945133107542e-25 m    
     <Rm>e: 6.754063828357237e-26 m    
         δ: 1.000000000000000e-09 m        
        σδ:                   0.0 n.u.     
        RP: 6.000000000000000e-09 m       
      <Rp>: 6.000000000000000e-09 m     
     σ<Rp>: 8.275945133107542e-25 m    
     <Rp>e: 6.754063828357237e-26 m    
        ΩM: 5.235987755982989e-25 m3      
      <Ωm>: 5.235987755982989e-25 m3    
     σ<Ωm>: 0.000000000000000e+00 m3   
     <Ωm>e: 0.000000000000000e+00 m3   
        ΩP: 9.047786842338603e-25 m3      
      <Ωp>: 9.047786842338607e-25 m3    
     σ<Ωp>: 0.000000000000000e+00 m3   
     <Ωp>e: 0.000000000000000e+00 m3   
        ρM: 5.240000000000000e+03 kg/m3   
        MS: 4.460000000000000e+05 A/m     
      Keff: 3.200000000000000e+04 J/m3  
        HK: 1.141918874201940e+05 A/m     
         α: 1.000000000000000e-01 n.u.     
        θM:                    -1 rad         
        θN:                    -1 rad         
         N:                  1000 n.u.         
        Ti: 4.000000000000000e+00 K   
        Tf: 3.500000000000000e+02 K   
        HS: 7.957747154594767e+05 A/m 
        H0: 3.978873577297384e+03 A/m 
        dt: 9.999999999999999e-12 s       
        X1:                   200 n.u.    
        X2:                   200 n.u.      
        Vm: 5.235987755982989e-22 m3 
        TB: 1.977513500000900e+02 K    
