#       Em_x_ZFC[n.u.]         Em_y_ZFC[n.u.]         Em_z_ZFC[n.u.]         En_x_ZFC[n.u.]         En_y_ZFC[n.u.]         En_z_ZFC[n.u.]
-7.527914646475362e-01 -6.379280330492436e-01 -1.623355641987929e-01 -1.448673815080500e-02  7.621975486576473e-01 -6.471823786522801e-01
-1.491763273580708e-01 -4.080988866277051e-02 -9.879681049220618e-01  1.029959478984384e-01  6.075725430243613e-02 -9.928244511322892e-01
-9.112188167036447e-01  4.108461411611102e-01  2.976098752115853e-02 -8.651594717142114e-01 -7.918166682862045e-02  4.952063732843390e-01
-1.468707668339919e-01  8.678377755364406e-01 -4.746436275792162e-01  2.776676809788174e-01  9.497649719464631e-01 -1.443854459541531e-01
 8.763145364422936e-01  2.953979680806796e-01  3.805428670645844e-01 -3.435455888158304e-01  7.877939439849461e-01  5.112309949776404e-01
 2.141758864124971e-01 -2.378139858525646e-01  9.474033976149427e-01 -4.082114471478857e-02  7.593199923092852e-01  6.494357423360693e-01
 4.935285162084705e-01  6.132094665093286e-01  6.167688009881903e-01 -5.663026596803686e-01  7.214181185468482e-01 -3.985689349049502e-01
-7.829116146871737e-01  5.767693297534034e-01  2.332092276127429e-01 -6.867260561101433e-02  2.936350269573454e-01  9.534477144460273e-01
-5.941683097935007e-01 -7.703287541304008e-01 -2.314252151279961e-01 -1.645220272934425e-01 -5.048896187103712e-01  8.473600034541114e-01
-5.266982313123687e-01  1.189510026157662e-02 -8.499691051574696e-01  3.276482901270101e-01  5.818873347328628e-01  7.443478539327778e-01
 2.391753723754824e-01  6.420409978063463e-01 -7.284081948913538e-01 -5.456041651511072e-01 -3.776871915363592e-01  7.481099386581767e-01
 7.525337525743674e-03 -6.206088480489754e-03 -9.999524257487933e-01  1.014860496498478e-02  2.342103705398476e-01  9.721329683478758e-01
-1.986466988697682e-01 -4.283897410939877e-01  8.814883542926530e-01  2.049801518990929e-02 -2.489377676536194e-01 -9.683025452868059e-01
-3.610008343245321e-01 -3.047977424850191e-01  8.813493823637863e-01 -1.198337734811121e-01  2.368287941489634e-01  9.641327652326859e-01
-3.362500089260053e-01 -2.969840610157866e-01  8.937205374163855e-01 -2.353121423338740e-01  8.165347786566384e-01 -5.271614087870975e-01
 5.267132149519639e-01  8.500419041067768e-01  1.396587802969230e-03 -8.074656913554882e-01  5.118181115243648e-01  2.933281063918635e-01
 8.935326276253187e-01  3.672083005219022e-01 -2.583747421804422e-01  5.366655027622672e-01  6.706747866481921e-01  5.120404951752594e-01
-4.737254030088555e-01  1.929619480359653e-01  8.592729072618680e-01 -8.003735544109613e-01  3.170831689760167e-01 -5.087832911482951e-01
-3.156878072212821e-01 -4.495067471090399e-01 -8.356344252574018e-01  2.295025560156593e-01 -6.918990808452395e-02  9.708456794988245e-01
 3.596058215403614e-01 -9.329945982999980e-01 -1.430848200569893e-02 -1.398974975479598e-01  8.522658484402966e-01 -5.040551693635925e-01
 6.143639974628694e-02 -6.441236490350385e-02  9.960304292709898e-01 -3.451953801742757e-01  6.562010315379692e-01  6.709995199065663e-01
-4.633006742750204e-03 -1.131978558341821e-01  9.935616642579691e-01  9.584807328624131e-01  2.682896601853216e-01 -9.661957860173216e-02
 5.499807829091395e-01 -8.162067278692101e-01  1.769963723122233e-01  4.534673443752987e-02 -5.927751640731169e-01 -8.040903422712783e-01
 6.944166096932349e-01  5.599362350617774e-01 -4.519479890949793e-01  5.317584066801979e-01  2.119463057424451e-01  8.199461936048409e-01
 2.914619016961998e-01  9.290296850061641e-01 -2.279337716025910e-01  5.890190341070665e-01  6.005042975568919e-02  8.058849318269548e-01
 1.229112166696322e-01  9.893177242052629e-01 -7.837903667505780e-02  8.418866445048350e-01 -4.594063441998408e-01  2.831478213112843e-01
 3.961614438950987e-01  4.122817066458173e-01 -8.204144713107899e-01 -5.043221033380706e-01  7.667194481065734e-01 -3.972411156713462e-01
-1.738914946876045e-02 -2.005568754121200e-02  9.996476313571709e-01  2.631977809740768e-01 -2.216457787204128e-01 -9.389356084768240e-01
 2.769868647763315e-01  9.402623237939691e-01  1.979521133884237e-01  2.293477791375082e-01  3.855885633650040e-01 -8.937119535995952e-01
-6.998838587060833e-01 -3.397324755707808e-02  7.134482481393508e-01  3.382577772491970e-01 -5.338531117163267e-01  7.749726003164420e-01
 6.249924568063300e-01 -6.854293535523757e-02  7.776157759125489e-01 -1.926508801953300e-01  8.666165093056662e-01 -4.602841124336433e-01
-6.930814123015956e-02 -3.045175660570096e-01 -9.499818069426040e-01 -1.063579834999925e-01 -4.706334992689951e-02 -9.932134818051321e-01
 1.327804879290937e-01 -4.618647326170084e-01 -8.769551361329331e-01 -2.070289753080466e-01  1.977945985745794e-01  9.581316716180617e-01
 8.974299240238219e-02 -3.104100196360578e-01 -9.463571286909652e-01 -3.203518716106878e-01 -3.148234958544364e-01 -8.934544447332058e-01
-9.593104130234239e-01 -2.772845212686488e-01 -5.326185999046706e-02 -2.112977132421004e-02  8.616008110641385e-02 -9.960572138123004e-01
 2.638035731409433e-01 -9.644453223925382e-01  1.590267000298554e-02 -2.846306450256926e-01  7.384780031035652e-02  9.557886263717412e-01
 4.754696127470824e-01  5.715716538969613e-04  8.797319595535813e-01 -4.838925504795320e-02 -5.258627549401255e-01  8.491918764111476e-01
 3.073227212045922e-01  5.783965250608322e-02  9.498459452086849e-01  6.509477914279548e-02 -1.169727443371804e-01  9.909995190768658e-01
-7.955401577327260e-03 -9.350862954457535e-02  9.955866852195437e-01 -1.858263902241856e-01 -2.988521775747241e-01  9.360320126230162e-01
 3.008948857682797e-01 -3.054214515012673e-01  9.034268120226192e-01 -2.800115427748430e-01 -1.725432338042530e-01  9.443634726000488e-01
 8.389172379789309e-02  9.354755152888506e-01  3.432895847142431e-01 -2.402555332717317e-02  4.359342335274693e-02 -9.987604248405677e-01
-2.704092561783005e-02  7.037484561728950e-02 -9.971540349645454e-01 -8.267840935908958e-01  1.799748233629322e-01 -5.329513350584294e-01
